OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
6c8f795e879f97af6bbf0a5f9f80c30e,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Eubacterium_F,s__Eubacterium_F sp003491505
a3c281277a6d53042f38ca709aebb54c,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Butyrivibrio_A_180067,s__Butyrivibrio_A_180067 crossotus
a4b487494862f71e4969a95b8f3ec239,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger_A_73129,s__Gemmiger_A_73129 qucibialis
67144d4f15e40504a909b422589a81d6,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__UBA1381,f__UBA1381,g__CAG-41,s__CAG-41 sp001941225
3c74db5d8ce9990fa40f372285e50d7c,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Peptostreptococcales,f__Peptostreptococcaceae_256921,g__Intestinibacter,NA
4e350ff69dd1b8044830ad53eeedb9af,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__UBA7173,s__UBA7173 sp002491305
6da0723c8f2c5c79a3818e37948b8962,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter_A_155507,s__Mediterraneibacter_A_155507 lactaris
0ef83a53f74df70063c992ee51a42448,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__ER4,s__ER4 sp900317525
0ee66988e0a54b993406e928ad92274a,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,g__Odoribacter_865974,s__Odoribacter splanchnicus
7529387a7de635933c08e82ddc612462,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,s__Ruminococcus_E sp003438075
78ef48aba8226b2d3b910640ec588864,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Dorea_A,s__Dorea_A formicigenerans
128696fec65599e4b8dcefa3d81b156f,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Clostridiales,f__Clostridiaceae_222000,g__Clostridium_T,NA
6a3265f604cfa360ef3338f84229a2d2,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella hominis
e0917479886e7470b6d38d7fbea4f56d,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella stercorea
759092e8e6a162fd1440168afbd99030,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola_A_858004,s__Phocaeicola_A_858004 plebeius
ec6dd2b89883192d556f7aa71fa44a21,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospira,s__
802c2e3f8da20e76cf6f6dffefddbf5e,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Coprococcus_A_121497,s__Coprococcus_A_121497 eutactus
d58d8084d414e21a1c76c1f72d3e0096,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes_A_871400,s__Alistipes_A_871400 communis
1ac3fb73983cba6a1efe308f0345b0f7,d__Archaea,p__Methanobacteriota_A_1229,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobrevibacter_A,s__Methanobrevibacter_A smithii_A_1174
d7f6bf121b9507f6698f4c0504f16886,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Faecalimonas,s__Faecalimonas phoceensis
a5e6ec8df3d9eb1ebfbe3c397da95d3e,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D succinifaciens
3d1fcc65c931bb6a77b687a734c7513b,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes_A_871400,s__Alistipes_A_871400 finegoldii
a91adbef7742b52747cc722198c799ab,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__,s__
6d0ac207f6ff468a637b4a2a922ae25d,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes_A_871400,s__Alistipes_A_871400 shahii
64d4a11643e202906cd80e6e7f876e36,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__Sodaliphilus,s__
b42a1c696300b054a7cc1abe4dbee3cd,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Ruminiclostridium_E,s__Ruminiclostridium_E siraeum
ed0f768bfe644821ddd8c793eb0abbf6,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Clostridiales,f__Clostridiaceae_222000,g__Clostridium_T,NA
2315323fdf9cc2c12808bdd402c16ced,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_C_71358
9df382506115b6c37b5d63ef2115191c,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Anaerobutyricum,NA
b1d59ccbfd08400f257921ca431858c3,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Copromonas,s__Copromonas sp900066535
329f23578d29260bfb68921ec3ff0eea,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus_C_58660,s__Ruminococcus_C_58660 sp000433635
12238f9630c9948d7725227082f81139,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Megasphaeraceae,g__Megasphaera_A_38685,s__Megasphaera_A_38685 elsdenii
80db623282c3b488a15bd89c097b3885,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus_C_58660,s__Ruminococcus_C_58660 callidus
af29674f270b0021799a79ceb5b630c1,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,s__Ruminococcus_E sp900314705
aa2eeeb505ac76273e49ca4ac4c973c1,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_Q_135822,s__Clostridium_Q_135822 fessum
4dbba53a9217a3dc4b0b6d41e1d38ca0,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__RUG115,NA
b0c83858accb36fae1309230e71f31a3,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola_A_858004,s__Phocaeicola_A_858004 coprocola
fe2afaff3e3897b050d36efc707f88a1,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus infantarius
f4de8ef214d848d8cc131e85a262f170,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium_388775,NA
e82b224b5372982f78684b712de7522a,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,s__Holdemanella biformis
63dd5f4d44c771cadfc06d916e75df46,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_C_71358
59421f305862ea0c8a13dbfb2f75d881,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Eubacterium_G,s__Eubacterium_G ventriosum
7bff8699e1b8d6cfe962f8c87625c158,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__CAG-127,s__CAG-127 sp900319515
75fadc7202a21495fa1f95afc485a41c,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,NA
6e4236a1abc321b6fe8131a9b686f8d9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_595427,f__Burkholderiaceae_A_595427,g__Sutterella,s__Sutterella wadsworthensis_A_565869
d1e978a2f853471cd7dafa077d2e69f5,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospira,NA
9410238c2f95936fc5febad0ebaa4c06,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__TANB77,f__CAG-508,g__,s__
8ec6c2f10ae519def1c82e74d76f9dd0,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Limivicinus,s__Limivicinus sp002320035
0b28c7f9f52a5bc4fa6fc92e3a6a3e61,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp002251435
dc022be46eee04d339c608d9c68b02bd,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__UMGS1375,s__UMGS1375 sp900066615
ad3508aa70f950170c2c99a6c595864d,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__CAG-917,g__CAG-349,s__CAG-349 sp003539515
8aea157d4393c6e76d91f0a08fd685ed,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D succinifaciens
8c93f1bca1f3eb2c9010b3eeec38551e,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella stercorea
b275a5f4b28f34232b3707cfcb32bf5a,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Bulleidia,s__Bulleidia massiliensis
e52dd8e558e057894aedf08cd8efeb94,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Treponematales,f__Treponemataceae,g__Treponema_D,s__Treponema_D porcinum
ffe86bc65a732757d38d49fbb50dd391,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Copromonas,s__Copromonas sp900066535
0305cd2f0149f2a7ec009f1befc099a4,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella stercorea
3b6efb4aff5e5087974bba9e92c8d532,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Acutalibacteraceae,g__Pseudoruminococcus_A,s__
ea1c71ab7ea6cc85a3c67821a6ee466b,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__Cryptobacteroides sp000435075
9273743375fbdb5088eb22ba73a53807,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes_A_871400,s__Alistipes_A_871400 onderdonkii
9c0458bf434a1dfea43b86968da44846,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Muribaculaceae,g__UBA7173,s__UBA7173 sp900540205
2e63e8e3f9f0f102f570e736e4b27c69,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Anaerobutyricum,NA
c87e75e9b8926afceb6032c54612d20c,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella stercorea
9cce992959e690911ccd17924e745ba9,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__CAG-138,g__SFEL01,s__
668754f66fdefae32ccbe568c3f28ccb,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Oliverpabstia,NA
6075297080c6b17dd53eedfcb7a52289,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,NA,NA
c0bf800bd1725df16d4e9876e6f1193c,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Acutalibacteraceae,g__Fimenecus,s__Fimenecus sp000432435
885c1ee37a3aa7cee79ea4b48dc26b66,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Weissella_A_338544,NA
fa359e01cdc3abc65f7bc2bd1258c65b,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_595427,f__Burkholderiaceae_A_595427,g__Parasutterella,s__Parasutterella sp009767915
82faa5dfc406b7951c71f5951e433cdc,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Coprococcus_A_121497,s__Coprococcus_A_121497 sp000154245
55fc5cc97e2bd6feb4337f5410ccb5f4,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia muciniphila_D_776786
9f3b00199e37e4678f066b1a05393c8c,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Ventrimonas,s__Ventrimonas sp003481825
6ca378be9cb481f8239a99b9ed9b02ac,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Barnesiellaceae,g__Barnesiella,s__Barnesiella intestinihominis
da27176c2cce8781f6e9a43b6df1eead,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Coprococcus_A_187866,s__Coprococcus_A_187866 catus
