species	correlation	p.value	p.adj	degree_of_relationship
s__Phascolarctobacterium_A_sp900753045	0.258452210093334	5.55457118794658e-07	1.0337151126043e-05	Weak
s__Phascolarctobacterium_A_sp934190775	-0.244697691090236	0.000146432282353907	0.00147507014701459	Weak
s__Phascolarctobacterium_A_succinatutens	0.305618089583976	2.23150470114656e-10	6.28254400476647e-09	Weak
s__Phascolarctobacterium_faecium	0.234123729647961	0.00151290260687896	0.00955822618889221	Weak
s__Phocaeicola_coprocola	0.352320515726121	0.00497919366361786	0.0248507029211473	Weak
s__Phocaeicola_massiliensis	0.177608220695658	0.00784845365273165	0.0353180414372924	Very weak
s__Phocaeicola_sp000434735	0.355436616523531	2.04960271999655e-13	8.0373706662722e-12	Weak
s__Prevotella_copri_A	0.357007825711213	2.29568403190794e-23	1.68044071135661e-21	Weak
s__Prevotella_hominis	0.485963074027054	2.71460210164725e-33	4.96772184601447e-31	Moderate
s__Prevotella_pectinovora	-0.39407394788912	3.80576487093674e-13	1.4409413200995e-11	Weak
s__Prevotella_sp000434975	0.43295508826443	1.03575461515666e-21	6.31810315245561e-20	Moderate
s__Prevotella_sp000436035	0.380110849771852	8.08416831142783e-15	3.28756177998065e-13	Weak
s__Prevotella_sp002265625	0.283367495512815	7.86652035180936e-10	2.09097785265347e-08	Weak
s__Prevotella_sp002299635	0.217749328302842	0.00632075339023053	0.0299176245109	Weak
s__Prevotella_sp003447235	0.181200451169331	6.41965294950018e-05	0.00070487789385512	Very weak
s__Prevotella_sp015074785	0.47395456654305	1.18754856992863e-44	3.37126963265053e-42	Moderate
s__Prevotella_sp900290275	0.498752582111243	6.33306667158686e-29	6.95370720540237e-27	Moderate
s__Prevotella_sp900313215	0.542915406309781	1.14523622777673e-48	1.25746937809885e-45	Moderate
s__Prevotella_sp900543975	0.275180243622171	6.55134122378741e-09	1.6348574235724e-07	Weak
s__Prevotella_sp900546535	0.522239155639589	8.14374989941595e-45	3.37126963265053e-42	Moderate
s__Prevotella_sp900546575	0.437803012400343	9.3067795908092e-19	5.10942199535425e-17	Moderate
s__Prevotella_sp900548535	0.492429757023283	2.27266261449926e-08	5.42474684939172e-07	Moderate
s__Prevotella_sp900548745	0.288418331849164	1.26270739279462e-07	2.56750503201573e-06	Weak
s__Prevotella_sp900551275	0.0993255771534476	0.00540611400887027	0.0266184447611639	Very weak
s__Prevotella_sp900552515	0.501551616164797	1.07355799233968e-23	8.41976196849261e-22	Moderate
s__Prevotella_sp900552675	0.259403224872626	2.74077989712475e-05	0.00034197458261852	Weak
s__Prevotella_sp900553155	0.295428694200707	3.44600769170117e-07	6.63809902717173e-06	Weak
s__Prevotella_sp900554835	-0.359043122710902	9.47436626789993e-17	4.52298007050179e-15	Weak
s__Prevotella_sp900555035	-0.137125653341355	0.0011893472156056	0.00806113112799354	Very weak
s__Prevotella_sp900556395	0.41252824915162	2.11006621248437e-11	7.02076576153891e-10	Moderate
s__Prevotella_sp900556795	0.279665471954064	6.02923763259414e-13	2.20670097352946e-11	Weak
s__Prevotella_sp900557035	0.449484639749701	3.55479147477354e-31	4.87895129912668e-29	Moderate
s__Prevotella_sp900767615	0.5052764890527	1.22814922865229e-44	3.37126963265053e-42	Moderate
s__Prevotella_sp934191715	0.424517975820603	1.97618283886074e-32	3.09978393867013e-30	Moderate
s__Prevotella_sp934202525	0.283701166163349	3.35432311854277e-16	1.47321871366398e-14	Weak
s__Prevotella_sp934203355	0.599507389162562	0.000588346989692337	0.00439459180055909	Moderate
s__Prevotella_sp934230115	0.223354016238667	0.000415516319354387	0.00348272456985586	Weak
s__Prevotella_sp934230965	0.33115137346581	0.0104092751835133	0.0446460318417877	Weak
s__Prevotella_sp934254985	0.150531977480169	0.00404636498441597	0.0208587265393838	Very weak
s__Prevotella_sp945863825	-0.272655903607794	6.44455608882681e-11	1.96558960709218e-09	Weak
s__Prevotella_stercorea	0.549462893342659	4.27869726002055e-41	9.39601918300514e-39	Moderate
s__RUG115_sp900066395	0.204527875748846	2.05273219920487e-05	0.000268321423181779	Weak
s__RUG131_sp900549975	0.713914777872636	0.000278386619221133	0.00250547957299019	Strong
s__RUG410_sp900553115	0.243252946755182	0.00717703560839181	0.0329723225858335	Weak
s__RUG410_sp934277545	0.389916743755782	0.00674234315063441	0.0312366783940784	Weak
s__RUG705_sp900759875	0.43480114149478	1.19198547279803e-05	0.000170582088689719	Moderate
s__Romboutsia_timonensis	-0.153480474147887	0.00328616447929789	0.0178238520380541	Very weak
s__Roseburia_hominis	-0.373353741579964	2.88802671649376e-16	1.3212722227959e-14	Weak
s__Ruminiclostridium_E_siraeum	0.252563915038023	1.84440119577582e-07	3.61634377314616e-06	Weak
s__Ruminococcus_B_gnavus	0.234686469515133	0.00525385148269924	0.0259852654414584	Weak
s__Ruminococcus_C_sp000433635	0.188623030129074	0.000213090500164147	0.00202132264156256	Very weak
s__Ruminococcus_D_bicirculans	0.293465974267556	8.92607704169594e-08	1.88477549841964e-06	Weak
s__Ruminococcus_D_sp000434695	0.323602517772322	0.0109596306907176	0.0466421492186355	Weak
s__Ruminococcus_E_sp003438075	0.318315018315018	0.0103657478095047	0.0446336905679851	Weak
s__SFIE01_sp004555405	0.189997751131621	0.00733928791731994	0.033437917565217	Very weak
s__SIG204_sp900544605	0.595238095238095	0.00105566877854481	0.00724452699276373	Moderate
s__Scatousia_sp900321895	0.352647352647353	0.00165765573910472	0.0101681899527206	Weak
s__Stercorousia_sp001765415	0.286562305385111	0.000497501860307525	0.00392990678142203	Weak
s__Stercorousia_sp900556295	0.266449888528373	0.0116043158876715	0.0488181564929628	Weak
s__Streptococcus_parasanguinis_C	0.572173913043478	0.0034832643257209	0.0185661370370949	Moderate
s__Sutterella_wadsworthensis	0.218255471924363	0.000908080013154389	0.00639148624643281	Weak
s__UBA10281_sp900764105	0.26278513843955	0.00184655246866175	0.0110191011445141	Weak
s__UBA10281_sp934271065	0.484146341463415	0.00133978484624087	0.0088619503685089	Moderate
s__UBA10281_sp934271265	-0.28342603988001	0.00282253495661859	0.0157316922962803	Weak
s__UBA1234_sp934149405	0.379457013574661	0.00602863383120181	0.0290326313449982	Weak
s__UBA1417_sp003531055	0.209251303867314	0.00152199658773238	0.00955822618889221	Weak
s__UBA2821_sp902763335	0.407261766736547	0.000567224895572028	0.00429841143941353	Moderate
s__UBA2882_sp900549665	0.291937819685818	0.00178864656062866	0.0109107440198348	Weak
s__UBA2883_sp002103075	-0.513636946128876	2.08363435356377e-06	3.47540318454857e-05	Moderate
s__UBA2903_sp900768465	0.439370614696892	0.000627669293529234	0.00465662759658851	Moderate
s__UBA3282_sp934418125	0.468198393273292	0.00456147568878255	0.0230806465727338	Moderate
s__UBA4951_sp900540385	0.30098452883263	0.00666902820617188	0.0310279363151556	Weak
s__UBA636_sp900546285	0.335203785449268	0.000444071973796639	0.00363873900916947	Weak
s__UBA6984_sp900550295	0.373128808425205	0.000343023837990484	0.00301312139290842	Weak
s__UMGS1224_sp900549775	0.508362369337979	0.000690086454800026	0.00501797965145979	Moderate
s__UMGS1449_sp934087515	0.534726143421796	0.0103477885523017	0.0446336905679851	Moderate
s__UMGS1585_sp900766355	0.51040065017792	3.63627872699346e-08	8.49496604731664e-07	Moderate
s__UMGS1668_sp900553955	0.397162283239547	7.07840194054477e-06	0.00010502818014484	Weak
s__UMGS1696_sp900763885	0.342921035192728	0.00901877789307567	0.0400915713627412	Weak
s__UMGS1994_sp900556975	0.475478536979488	0.00127171919126251	0.00851431507320874	Moderate
s__UMGS2068_sp900769635	0.432813215455602	2.53633242104586e-05	0.000323824767245157	Moderate
s__UMGS363_sp900543105	0.58978131188442	2.06525280874489e-10	5.96749364211022e-09	Moderate
s__Ventrimonas_sp003478505	0.290515208117691	0.000245393457070881	0.0022688073046604	Weak
s__Vescimonas_coprocola	0.234106668356077	0.000958119877164873	0.00665832674131032	Weak
s__Vescimonas_fastidiosa	0.205675865071259	0.000216716703718454	0.00203380291181933	Weak
s__Vescimonas_sp000435555	0.198367675691123	1.19624962013737e-05	0.000170582088689719	Very weak
s__Vescimonas_sp001916855	0.205626415392835	0.000128257504613076	0.00132855415155809	Weak
s__Vescimonas_sp003487665	0.157307712351595	0.000749055799436616	0.00536068328029957	Very weak
s__Vescimonas_sp900313295	0.314040823022122	0.000323805480917829	0.0028672453068369	Weak
s__Vescimonas_sp900550615	0.463235294117647	0.0066300474153466	0.0309778385619173	Moderate
s__Vescimonas_sp900551355	0.354214384133488	0.00304160696203164	0.0167823338910088	Weak
s__W0P33-017_sp934320655	0.309145635150015	0.001485978729036	0.00950650025115757	Weak
s__W0P33-017_sp934351445	0.389152206110056	1.21334227349378e-07	2.51367889867202e-06	Weak
s__Wujia_sp022174665	0.26840244741565	0.00303654655703982	0.0167823338910088	Weak
s__Wujia_sp900539705	0.418803797945752	2.6581698337723e-05	0.000335479365227814	Moderate
s__Wujia_sp900767585	-0.466183325026764	0.00109332477469719	0.00745633914669262	Moderate
